Date,Open,High,Low,Close,Adj Close,Volume
2023-03-10,297.899994,298.790009,289.000000,292.760010,292.760010,5753800
2023-03-13,287.339996,299.239990,285.329987,293.510010,293.510010,6292400
2023-03-14,295.970001,297.450012,290.309998,294.940002,294.940002,5956700
2023-03-15,292.510010,306.309998,292.279999,303.790009,303.790009,9215300
2023-03-16,304.750000,316.600006,301.709991,310.059998,310.059998,7903700
2023-03-17,310.059998,310.760010,300.000000,303.500000,303.500000,6912100
2023-03-20,299.790009,307.500000,296.000000,305.130005,305.130005,5113400
2023-03-21,306.320007,307.920013,300.429993,305.790009,305.790009,4886300
2023-03-22,306.309998,306.450012,293.540009,293.899994,293.899994,5808000
2023-03-23,304.679993,322.779999,304.140015,320.369995,320.369995,15653300
2023-03-24,320.630005,331.829987,320.630005,328.390015,328.390015,12991700
2023-03-27,327.549988,336.440002,324.410004,327.660004,327.660004,8625800
2023-03-28,326.059998,333.320007,321.279999,323.519989,323.519989,6489400
2023-03-29,326.290009,332.850006,325.730011,332.029999,332.029999,6279500
